rank,lemma,pos,frequency,article,gender,genitive,plural,auxiliary,past_3sg,participle_ii,translation,cefr,theme
1,sein,AUX,6346070,,,,,sein,war,gewesen,to be,A1,common_verbs
2,ich,PRON,5890279,,,,,,,,I,A1,function_words
3,sie,PRON,3806902,,,,,,,,she/they,A1,function_words
4,haben,AUX,3136391,,,,,haben,hatte,gehabt,to have,A1,common_verbs
5,du,PRON,2947020,,,,,,,,you (informal singular),A1,function_words
6,nicht,PART,2757111,,,,,,,,not,A1,function_words
7,es,PRON,2303088,,,,,,,,it,A1,function_words
8,und,CCONJ,2289891,,,,,,,,and,A1,function_words
9,zu,ADP,1756381,,,,,,,,to,A1,function_words
10,wir,PRON,1721620,,,,,,,,we,A1,function_words
11,in,ADP,1715638,,,,,,,,in,A1,function_words
12,was,PRON,1696010,,,,,,,,what,A1,function_words
13,er,PRON,1352161,,,,,,,,he,A1,function_words
14,werden,AUX,1331646,,,,,sein,wurde,geworden,to become,A1,common_verbs
15,ja,ADV,1054114,,,,,,,,yes,A1,function_words
16,mir,PRON,1019451,,,,,,,,me (dative),A1,function_words
17,mit,ADP,1014541,,,,,,,,with,A1,function_words
18,können,AUX,938263,,,,,haben,konnte,gekonnt,can/to be able,A1,common_verbs
19,wie,ADP,928920,,,,,,,,like/how,A1,function_words
20,auf,ADP,896444,,,,,,,,on,A1,function_words
21,mich,PRON,893076,,,,,,,,me (accusative),A1,function_words
22,dass,SCONJ,879520,,,,,,,,that,A1,function_words
23,aber,CCONJ,854492,,,,,,,,but,A1,function_words
24,so,ADV,813903,,,,,,,,so,A1,function_words
25,an,ADP,809224,,,,,,,,at/on,A1,function_words
26,von,ADP,783087,,,,,,,,"from, of",A1,function_words
27,hier,ADV,754322,,,,,,,,here,A1,function_words
28,für,ADP,747737,,,,,,,,for,A1,function_words
29,wenn,SCONJ,694462,,,,,,,,"if, when",A1,function_words
30,dich,PRON,688780,,,,,,,,you (accusative),A1,function_words
31,machen,VERB,685059,,,,,haben,machte,gemacht,"to make, to do",A1,common_verbs
32,kommen,VERB,659601,,,,,sein,kam,gekommen,to come,A1,common_verbs
33,ihr,PRON,655351,,,,,,,,"you (plural), her",A1,function_words
34,sagen,VERB,655131,,,,,haben,sagte,gesagt,to say,A1,common_verbs
35,wollen,AUX,651258,,,,,haben,wollte,gewollt,to want,A1,common_verbs
36,nein,PART,641944,,,,,,,,no,A1,greetings
37,gehen,VERB,614864,,,,,sein,ging,gegangen,to go,A1,common_verbs
38,gut,ADV,605694,,,,,,,,"well, good",A1,common_adjectives
39,noch,ADV,572486,,,,,,,,"still, yet",A1,function_words
