lemma,pos,rank,form_text,morphology,is_primary
sein,AUX,1,sein,lemma,True
sein,AUX,1,war,preterite_3sg,False
sein,AUX,1,gewesen,participle_ii,False
ich,PRON,2,ich,lemma,True
sie,PRON,3,sie,lemma,True
haben,AUX,4,haben,lemma,True
haben,AUX,4,hatte,preterite_3sg,False
haben,AUX,4,gehabt,participle_ii,False
du,PRON,5,du,lemma,True
nicht,PART,6,nicht,lemma,True
es,PRON,7,es,lemma,True
und,CCONJ,8,und,lemma,True
zu,ADP,9,zu,lemma,True
wir,PRON,10,wir,lemma,True
in,ADP,11,in,lemma,True
was,PRON,12,was,lemma,True
er,PRON,13,er,lemma,True
werden,AUX,14,werden,lemma,True
werden,AUX,14,wurde,preterite_3sg,False
werden,AUX,14,geworden,participle_ii,False
ja,ADV,15,ja,lemma,True
mir,PRON,16,mir,lemma,True
mit,ADP,17,mit,lemma,True
können,AUX,18,können,lemma,True
können,AUX,18,konnte,preterite_3sg,False
können,AUX,18,gekonnt,participle_ii,False
wie,ADP,19,wie,lemma,True
auf,ADP,20,auf,lemma,True
mich,PRON,21,mich,lemma,True
dass,SCONJ,22,dass,lemma,True
aber,CCONJ,23,aber,lemma,True
so,ADV,24,so,lemma,True
an,ADP,25,an,lemma,True
von,ADP,26,von,lemma,True
hier,ADV,27,hier,lemma,True
für,ADP,28,für,lemma,True
wenn,SCONJ,29,wenn,lemma,True
dich,PRON,30,dich,lemma,True
machen,VERB,31,machen,lemma,True
machen,VERB,31,machte,preterite_3sg,False
machen,VERB,31,gemacht,participle_ii,False
kommen,VERB,32,kommen,lemma,True
kommen,VERB,32,kam,preterite_3sg,False
kommen,VERB,32,gekommen,participle_ii,False
ihr,PRON,33,ihr,lemma,True
sagen,VERB,34,sagen,lemma,True
sagen,VERB,34,sagte,preterite_3sg,False
sagen,VERB,34,gesagt,participle_ii,False
wollen,AUX,35,wollen,lemma,True
wollen,AUX,35,wollte,preterite_3sg,False
wollen,AUX,35,gewollt,participle_ii,False
nein,PART,36,nein,lemma,True
gehen,VERB,37,gehen,lemma,True
gehen,VERB,37,ging,preterite_3sg,False
gehen,VERB,37,gegangen,participle_ii,False
gut,ADV,38,gut,lemma,True
noch,ADV,39,noch,lemma,True
wissen,VERB,40,wissen,lemma,True
wissen,VERB,40,wusste,preterite_3sg,False
wissen,VERB,40,gewusst,participle_ii,False
nur,ADV,41,nur,lemma,True
da,ADV,42,da,lemma,True
dir,PRON,43,dir,lemma,True
sich,PRON,44,sich,lemma,True
uns,PRON,45,uns,lemma,True
tun,VERB,46,tun,lemma,True
tun,VERB,46,tat,preterite_3sg,False
tun,VERB,46,getan,participle_ii,False
sehen,VERB,47,sehen,lemma,True
sehen,VERB,47,sah,preterite_3sg,False
sehen,VERB,47,gesehen,participle_ii,False
dieser,PRON,48,dieser,lemma,True
auch,ADV,49,auch,lemma,True
schon,ADV,50,schon,lemma,True
als,ADP,51,als,lemma,True
sollen,AUX,52,sollen,lemma,True
sollen,AUX,52,sollte,preterite_3sg,False
sollen,AUX,52,gesollt,participle_ii,False
mal,ADV,53,mal,lemma,True
jetzt,ADV,54,jetzt,lemma,True
ihn,PRON,55,ihn,lemma,True
dann,ADV,56,dann,lemma,True
aus,ADP,57,aus,lemma,True
um,ADP,58,um,lemma,True
alle,PRON,59,alle,lemma,True
geben,VERB,60,geben,lemma,True
geben,VERB,60,gab,preterite_3sg,False
geben,VERB,60,gegeben,participle_ii,False
doch,CCONJ,61,doch,lemma,True
oder,CCONJ,62,oder,lemma,True
bei,ADP,63,bei,lemma,True
nach,ADP,64,nach,lemma,True
nichts,PRON,65,nichts,lemma,True
denken,VERB,66,denken,lemma,True
denken,VERB,66,dachte,preterite_3sg,False
denken,VERB,66,gedacht,participle_ii,False
man,PRON,67,man,lemma,True
müssen,AUX,68,müssen,lemma,True
müssen,AUX,68,musste,preterite_3sg,False
müssen,AUX,68,gemusst,participle_ii,False
ihnen,PRON,69,ihnen,lemma,True
wo,SCONJ,70,wo,lemma,True
etwas,PRON,71,etwas,lemma,True
mehr,PRON,72,mehr,lemma,True
also,ADV,73,also,lemma,True
Mann,NOUN,74,Mann,lemma,True
Mann,NOUN,74,Mannes,genitive_singular,False
Mann,NOUN,74,Männer,nominative_plural,False
aller,PRON,75,aller,lemma,True
bitte,ADV,76,bitte,lemma,True
immer,ADV,77,immer,lemma,True
haben,AUX,78,haben,lemma,True
haben,AUX,78,hatte,preterite_3sg,False
haben,AUX,78,gehabt,participle_ii,False
warum,ADV,79,warum,lemma,True
vor,ADP,80,vor,lemma,True
los,ADV,81,los,lemma,True
wieder,ADV,82,wieder,lemma,True
Danke,NOUN,83,Danke,lemma,True
Danke,NOUN,83,Danke,genitive_singular,False
Danke,NOUN,83,Danke,nominative_plural,False
sehr,ADV,84,sehr,lemma,True
denn,CCONJ,85,denn,lemma,True
müssen,AUX,86,müssen,lemma,True
müssen,AUX,86,musste,preterite_3sg,False
müssen,AUX,86,gemusst,participle_ii,False
finden,VERB,87,finden,lemma,True
finden,VERB,87,fand,preterite_3sg,False
finden,VERB,87,gefunden,participle_ii,False
ihm,PRON,88,ihm,lemma,True
gut,ADJ,89,gut,lemma,True
vielleicht,ADV,90,vielleicht,lemma,True
wer,PRON,91,wer,lemma,True
lassen,VERB,92,lassen,lemma,True
lassen,VERB,92,ließ,preterite_3sg,False
lassen,VERB,92,gelassen,participle_ii,False
euch,PRON,93,euch,lemma,True
leben,VERB,94,leben,lemma,True
leben,VERB,94,lebte,preterite_3sg,False
leben,VERB,94,gelebt,participle_ii,False
ein,PRON,95,ein,lemma,True
über,ADP,96,über,lemma,True
okay,ADV,97,okay,lemma,True
glauben,VERB,98,glauben,lemma,True
glauben,VERB,98,glaubte,preterite_3sg,False
glauben,VERB,98,geglaubt,participle_ii,False
anderer,PRON,99,anderer,lemma,True
nie,ADV,100,nie,lemma,True
wirklich,ADV,101,wirklich,lemma,True
Frau,NOUN,102,Frau,lemma,True
Frau,NOUN,102,Frau,genitive_singular,False
Frau,NOUN,102,Frauen,nominative_plural,False
viel,PRON,103,viel,lemma,True
Weg,ADV,104,Weg,lemma,True
einfach,ADV,105,einfach,lemma,True
Zeit,NOUN,106,Zeit,lemma,True
Zeit,NOUN,106,Zeit,genitive_singular,False
Zeit,NOUN,106,Zeiten,nominative_plural,False
brauchen,VERB,107,brauchen,lemma,True
brauchen,VERB,107,brauchte,preterite_3sg,False
brauchen,VERB,107,gebraucht,participle_ii,False
hören,VERB,108,hören,lemma,True
hören,VERB,108,hörte,preterite_3sg,False
hören,VERB,108,gehört,participle_ii,False
weil,SCONJ,109,weil,lemma,True
wollen,VERB,110,wollen,lemma,True
wollen,VERB,110,wollte,preterite_3sg,False
wollen,VERB,110,gewollt,participle_ii,False
warten,VERB,111,warten,lemma,True
warten,VERB,111,wartete,preterite_3sg,False
warten,VERB,111,gewartet,participle_ii,False
meinen,VERB,112,meinen,lemma,True
meinen,VERB,112,meinte,preterite_3sg,False
meinen,VERB,112,gemeint,participle_ii,False
heute,ADV,113,heute,lemma,True
damit,ADV,114,damit,lemma,True
reden,VERB,115,reden,lemma,True
reden,VERB,115,redete,preterite_3sg,False
reden,VERB,115,geredet,participle_ii,False
ganz,ADV,116,ganz,lemma,True
jemand,PRON,117,jemand,lemma,True
nehmen,VERB,118,nehmen,lemma,True
nehmen,VERB,118,nahm,preterite_3sg,False
nehmen,VERB,118,genommen,participle_ii,False
sicher,ADV,119,sicher,lemma,True
weißen,VERB,120,weißen,lemma,True
weißen,VERB,120,weißte,preterite_3sg,False
weißen,VERB,120,geweiß,participle_ii,False
kennen,VERB,121,kennen,lemma,True
kennen,VERB,121,kannte,preterite_3sg,False
kennen,VERB,121,gekannt,participle_ii,False
nun,ADV,122,nun,lemma,True
bringen,VERB,123,bringen,lemma,True
bringen,VERB,123,brachte,preterite_3sg,False
bringen,VERB,123,gebracht,participle_ii,False
Jahr,NOUN,124,Jahr,lemma,True
Jahr,NOUN,124,Jahres,genitive_singular,False
Jahr,NOUN,124,Jahre,nominative_plural,False
bis,ADP,125,bis,lemma,True
verstehen,VERB,126,verstehen,lemma,True
verstehen,VERB,126,verstand,preterite_3sg,False
verstehen,VERB,126,verstanden,participle_ii,False
können,VERB,127,können,lemma,True
können,VERB,127,konnte,preterite_3sg,False
können,VERB,127,gekonnt,participle_ii,False
zurück,ADV,128,zurück,lemma,True
Tag,NOUN,129,Tag,lemma,True
Tag,NOUN,129,Tages,genitive_singular,False
Tag,NOUN,129,Tage,nominative_plural,False
stehen,VERB,130,stehen,lemma,True
stehen,VERB,130,stand,preterite_3sg,False
stehen,VERB,130,gestanden,participle_ii,False
Gott,NOUN,131,Gott,lemma,True
Gott,NOUN,131,Gottes,genitive_singular,False
Gott,NOUN,131,Götter,nominative_plural,False
Leute,NOUN,132,Leute,lemma,True
Leute,NOUN,132,Leute,genitive_singular,False
Leute,NOUN,132,Leute,nominative_plural,False
helfen,VERB,133,helfen,lemma,True
helfen,VERB,133,half,preterite_3sg,False
helfen,VERB,133,geholfen,participle_ii,False
genau,ADV,134,genau,lemma,True
bleiben,VERB,135,bleiben,lemma,True
bleiben,VERB,135,blieb,preterite_3sg,False
bleiben,VERB,135,geblieben,participle_ii,False
Vater,NOUN,136,Vater,lemma,True
